Incident Description,Full Address,City,State,Country,category,Crime Date and Time,Disposition,Location,Case number,Body Value,Field Log Category Value,Field Log Disposition Value,Field Log Location Value
ALCOHOL INTOXICATION IN A PUBLIC PLACE,310 SOUTH LIMESTONE ST  ,Lexington,Kentucky,United States of America,Alcohol Intoxication,1/3/2015 20:40,Closed N/A,310 SOUTH LIMESTONE ST,201500304,ALCOHOL INTOXICATION IN A PUBLIC PLACE,Alcohol Intoxication,Closed N/A,310 SOUTH LIMESTONE ST
"OPER MTR VEHICLE U/INFLUENCE ALC/DRUGS/ETC .08 1ST OFF/M, POSS OF OPEN ALC BEVERAGE CONT IN MOTOR VEHICLE PROHIBITED, CRIMINAL LITTERING/M",SOUTH LIMESTONE ST & HUGUELET DR  ,Lexington,Kentucky,United States of America,DUI,1/3/2015 7:45,Closed Lexington Police Report,SOUTH LIMESTONE ST & HUGUELET DR,2015001088,"OPER MTR VEHICLE U/INFLUENCE ALC/DRUGS/ETC .08 1ST OFF/M, POSS OF OPEN ALC BEVERAGE CONT IN MOTOR VEHICLE PROHIBITED, CRIMINAL LITTERING/M",DUI,Closed Lexington Police Report,SOUTH LIMESTONE ST & HUGUELET DR
"ALCOHOL INTOXICATION IN A PUBLIC PLACE (1ST & 2ND OFFENSES) X2, DISORDERLY CONDUCT 2ND/M, HARASSMENT (NO PHYSICAL CONTACT)",JERSEY ST & PINE ST  ,Lexington,Kentucky,United States of America,Alcohol Intoxication,1/3/2015 7:04,Closed Lexington Police Report,JERSEY ST & PINE ST,2015001086,"ALCOHOL INTOXICATION IN A PUBLIC PLACE (1ST & 2ND OFFENSES) X2, DISORDERLY CONDUCT 2ND/M, HARASSMENT (NO PHYSICAL CONTACT)",Alcohol Intoxication,Closed Lexington Police Report,JERSEY ST & PINE ST
ASSAULT,1000 SOUTH LIMESTONE ST  ,Lexington,Kentucky,United States of America,Assault,1/1/2015 22:00,Closed CSA,1000 SOUTH LIMESTONE ST,CSA20150001,ASSAULT,Assault,Closed CSA,1000 SOUTH LIMESTONE ST
ASSAULT,1350 BULL LEA RD  ,Lexington,Kentucky,United States of America,Assault,1/1/2015 0:33,Closed CSA,1350 BULL LEA RD,CSA20150002,ASSAULT,Assault,Closed CSA,1350 BULL LEA RD
ASSAULT,1350 BULL LEA RD  ,Lexington,Kentucky,United States of America,Assault,1/1/2015 16:02,Closed CSA,1350 BULL LEA RD,CSA20150003,ASSAULT,Assault,Closed CSA,1350 BULL LEA RD
ASSAULT,1350 BULL LEA RD  ,Lexington,Kentucky,United States of America,Assault,1/1/2015 18:13,Closed CSA,1350 BULL LEA RD,CSA20150004,ASSAULT,Assault,Closed CSA,1350 BULL LEA RD
ASSAULT,1350 BULL LEA RD  ,Lexington,Kentucky,United States of America,Assault,1/1/2015 19:10,Closed CSA,1350 BULL LEA RD,CSA20150005,ASSAULT,Assault,Closed CSA,1350 BULL LEA RD
ASSAULT,1350 BULL LEA RD  ,Lexington,Kentucky,United States of America,Assault,1/1/2015 19:44,Closed CSA,1350 BULL LEA RD,CSA20150006,ASSAULT,Assault,Closed CSA,1350 BULL LEA RD
TERRORISTIC THREATENING,1350 BULL LEA RD  ,Lexington,Kentucky,United States of America,Terroristic Threatening,1/1/2015 21:25,Closed CSA,1350 BULL LEA RD,CSA20150007,TERRORISTIC THREATENING,Terroristic Threatening,Closed CSA,1350 BULL LEA RD
"ASSAULT X2, TERRORISTIC THREATENING",1350 BULL LEA RD  ,Lexington,Kentucky,United States of America,Assault,1/2/2015 6:15,Closed CSA,1350 BULL LEA RD,CSA20150008,"ASSAULT X2, TERRORISTIC THREATENING",Assault,Closed CSA,1350 BULL LEA RD
ASSAULT,1350 BULL LEA RD  ,Lexington,Kentucky,United States of America,Assault,1/2/2015 7:45,Closed CSA,1350 BULL LEA RD,CSA20150009,ASSAULT,Assault,Closed CSA,1350 BULL LEA RD
CRIMINAL MISCHIEF,1350 BULL LEA RD  ,Lexington,Kentucky,United States of America,Criminal Mischief,1/2/2015 19:20,Closed CSA,1350 BULL LEA RD,CSA20150010,CRIMINAL MISCHIEF,Criminal Mischief,Closed CSA,1350 BULL LEA RD
ASSAULT,1350 BULL LEA RD  ,Lexington,Kentucky,United States of America,Assault,1/2/2015 16:50,Closed CSA,1350 BULL LEA RD,CSA20150011,ASSAULT,Assault,Closed CSA,1350 BULL LEA RD
"ASSAULT, TERRORISTIC THREATENING",1350 BULL LEA RD  ,Lexington,Kentucky,United States of America,Assault,1/3/2015 5:31,Closed CSA,1350 BULL LEA RD,CSA20150012,"ASSAULT, TERRORISTIC THREATENING",Assault,Closed CSA,1350 BULL LEA RD
ASSAULT,1350 BULL LEA RD  ,Lexington,Kentucky,United States of America,Assault,1/3/2015 6:50,Closed CSA,1350 BULL LEA RD,CSA20150013,ASSAULT,Assault,Closed CSA,1350 BULL LEA RD
"ASSAULT, TERRORISTIC THREATENING",1350 BULL LEA RD  ,Lexington,Kentucky,United States of America,Assault,1/3/2015 23:35,Closed CSA,1350 BULL LEA RD,CSA20150014,"ASSAULT, TERRORISTIC THREATENING",Assault,Closed CSA,1350 BULL LEA RD
ASSAULT,1350 BULL LEA RD  ,Lexington,Kentucky,United States of America,Assault,1/4/2015 16:20,Closed CSA,1350 BULL LEA RD,CSA20150015,ASSAULT,Assault,Closed CSA,1350 BULL LEA RD
ASSAULT,1350 BULL LEA RD  ,Lexington,Kentucky,United States of America,Assault,1/4/2015 19:38,Closed CSA,1350 BULL LEA RD,CSA20150016,ASSAULT,Assault,Closed CSA,1350 BULL LEA RD
ASSAULT 4TH DEGREE (DOMESTIC VIOLENCE) NO VISIBLE INJURY/M,800 ROSE ST  ,Lexington,Kentucky,United States of America,Assault,1/5/2015 14:30,Closed,800 ROSE ST,20150048,ASSAULT 4TH DEGREE (DOMESTIC VIOLENCE) NO VISIBLE INJURY/M,Assault,Closed,800 ROSE ST
BURGLARY 2ND DEGREE/F,364 AYLESFORD PL  ,Lexington,Kentucky,United States of America,Burglary,1/5/2015 11:00,Closed Lexington Police Report,364 AYLESFORD PL,2015002042,BURGLARY 2ND DEGREE/F,Burglary,Closed Lexington Police Report,364 AYLESFORD PL
"ASSAULT, TERRORISTIC THREATENING",1350 BULL LEA RD  ,Lexington,Kentucky,United States of America,Assault,1/6/2015 6:25,Closed CSA,1350 BULL LEA RD,CSA20150017,"ASSAULT, TERRORISTIC THREATENING",Assault,Closed CSA,1350 BULL LEA RD
"TBUT OR DISP CONTROLLED SUBSTANCE U/$10,000/F",1000 SOUTH LIMESTONE ST  ,Lexington,Kentucky,United States of America,Theft,1/6/2015 21:25,Open,1000 SOUTH LIMESTONE ST,20150052,"TBUT OR DISP CONTROLLED SUBSTANCE U/$10,000/F",Theft,Open,1000 SOUTH LIMESTONE ST
"DISREGARDING STOP SIGN/V, POSS OF MARIJUANA/M, DRUG PARAPHERNALIA-BUY/POSSESS/M.",ALUMNI DR/UNIVERSITY DR  ,Lexington,Kentucky,United States of America,Drug Violations,1/7/2015 4:25,Citation Issued,ALUMNI DR/UNIVERSITY DR,20150054,"DISREGARDING STOP SIGN/V, POSS OF MARIJUANA/M, DRUG PARAPHERNALIA-BUY/POSSESS/M.",Drug Violations,Citation Issued,ALUMNI DR/UNIVERSITY DR
TERRORISTIC THREATENING 3RD/M.,1350 BULL LEA RD  ,Lexington,Kentucky,United States of America,Terroristic Threatening,1/7/2015 11:10,Closed CSA,1350 BULL LEA RD,CSA20150021,TERRORISTIC THREATENING 3RD/M.,Terroristic Threatening,Closed CSA,1350 BULL LEA RD
ASSAULT 4TH/M,1350 BULL LEA RD  ,Lexington,Kentucky,United States of America,Assault,1/6/2015 23:12,Closed CSA,1350 BULL LEA RD,CSA20150020,ASSAULT 4TH/M,Assault,Closed CSA,1350 BULL LEA RD
ASSAULT 4TH/M,1350 BULL LEA RD  ,Lexington,Kentucky,United States of America,Assault,1/7/2015 17:06,Closed CSA,1350 BULL LEA RD,CSA20150018,ASSAULT 4TH/M,Assault,Closed CSA,1350 BULL LEA RD
ASSAULT 4TH/M,1350 BULL LEA RD  ,Lexington,Kentucky,United States of America,Assault,1/7/2015 17:03,Closed CSA,1350 BULL LEA RD,CSA20150019,ASSAULT 4TH/M,Assault,Closed CSA,1350 BULL LEA RD
"TBUT OR DISP BICYCLES $500 OR MORE BUT U/$10,000/F",675 ROSE ST  ,Lexington,Kentucky,United States of America,Theft,1/7/2015 16:00,Open,675 ROSE ST,20150056,"TBUT OR DISP BICYCLES $500 OR MORE BUT U/$10,000/F",Theft,Open,675 ROSE ST
CRIMINAL MISCHIEF,1350 BULL LEA RD  ,Lexington,Kentucky,United States of America,Criminal Mischief,1/7/2015 20:28,Closed CSA,1350 BULL LEA RD,CSA20150022,CRIMINAL MISCHIEF,Criminal Mischief,Closed CSA,1350 BULL LEA RD
ASSAULT X2,1350 BULL LEA RD  ,Lexington,Kentucky,United States of America,Assault,1/8/2015 11:11,Closed CSA,1350 BULL LEA RD,CSA20150023,ASSAULT X2,Assault,Closed CSA,1350 BULL LEA RD
DRUG PARAPHERNALIA - BUY/POSSESS/M,800 ROSE ST  ,Lexington,Kentucky,United States of America,Drug Violations,1/8/2015 20:00,Closed,800 ROSE ST,20150059,DRUG PARAPHERNALIA - BUY/POSSESS/M,Drug Violations,Closed,800 ROSE ST
ALCOHOL INTOXICATION IN A PUBLIC PLACE (1ST & 2ND OFFENSES),SOUTH UPPER ST & BOLIVAR ST  ,Lexington,Kentucky,United States of America,Alcohol Intoxication,1/9/2015 6:31,Cleared By Arrest,SOUTH UPPER ST & BOLIVAR ST,20150063,ALCOHOL INTOXICATION IN A PUBLIC PLACE (1ST & 2ND OFFENSES),Alcohol Intoxication,Cleared By Arrest,SOUTH UPPER ST & BOLIVAR ST
ASSAULT,1350 BULL LEA RD  ,Lexington,Kentucky,United States of America,Assault,1/8/2015 22:13,Closed CSA,1350 BULL LEA RD,CSA20150024,ASSAULT,Assault,Closed CSA,1350 BULL LEA RD
"ASSAULT, TERRORISTIC THREATENING",1350 BULL LEA RD  ,Lexington,Kentucky,United States of America,Assault,1/9/2015 3:33,Closed CSA,1350 BULL LEA RD,CSA20150025,"ASSAULT, TERRORISTIC THREATENING",Assault,Closed CSA,1350 BULL LEA RD
"TERRORISTIC THREATENING
",1350 BULL LEA RD  ,Lexington,Kentucky,United States of America,Terroristic Threatening,1/9/2015 4:22,Closed CSA,1350 BULL LEA RD,CSA20150026,"TERRORISTIC THREATENING
",Terroristic Threatening,Closed CSA,1350 BULL LEA RD
ASSAULT,1350 BULL LEA RD  ,Lexington,Kentucky,United States of America,Assault,1/8/2015 16:48,Closed CSA,1350 BULL LEA RD,CSA20150027,ASSAULT,Assault,Closed CSA,1350 BULL LEA RD
ASSAULT,1350 BULL LEA RD  ,Lexington,Kentucky,United States of America,Assault,1/8/2015 16:03,Closed CSA,1350 BULL LEA RD,CSA20150028,ASSAULT,Assault,Closed CSA,1350 BULL LEA RD
"TBUT OR DISP FROM BUILDING $500 OR MORE BUT U/$10,000/F",179 FUNKHOUSER DR  ,Lexington,Kentucky,United States of America,Theft,1/5/2015 18:25,Open,179 FUNKHOUSER DR,20150065,"TBUT OR DISP FROM BUILDING $500 OR MORE BUT U/$10,000/F",Theft,Open,179 FUNKHOUSER DR
ALCOHOL INTOXICATION IN A PUBLIC PLACE (1ST & 2ND OFFENSES); POSSESSION OF SYNTHETIC DRUGS/M,HUGUELET DR & ROSE ST  ,Lexington,Kentucky,United States of America,Alcohol Intoxication,1/9/2015 21:58,Cleared By Arrest,HUGUELET DR & ROSE ST,20150067,ALCOHOL INTOXICATION IN A PUBLIC PLACE (1ST & 2ND OFFENSES); POSSESSION OF SYNTHETIC DRUGS/M,Alcohol Intoxication,Cleared By Arrest,HUGUELET DR & ROSE ST
OPER MTR VEHICLE U/INFLU ALC/DRUGS/ETC .08 (AGG CIRCUM) 1ST OFF/M,ALUMNI DR & COMMONWEALTH DR  ,Lexington,Kentucky,United States of America,DUI,1/10/2015 4:05,Cleared By Arrest,ALUMNI DR & COMMONWEALTH DR,20150071,OPER MTR VEHICLE U/INFLU ALC/DRUGS/ETC .08 (AGG CIRCUM) 1ST OFF/M,DUI,Cleared By Arrest,ALUMNI DR & COMMONWEALTH DR
"NO REGISTRATION PLATES, FAILURE OF OWNER TO MAINTAIN REQUIRED INS/SEC 1ST OFF/M, OPER MTR VEHICLE U/INFLUENCE ALC/DRUGS/ETC. .08 1ST OFF/M",SOUTH LIMESTONE ST & TRANSCRIPT AVE  ,Lexington,Kentucky,United States of America,DUI,1/10/2015 7:38,Cleared By Arrest,SOUTH LIMESTONE ST & TRANSCRIPT AVE,20150073,"NO REGISTRATION PLATES, FAILURE OF OWNER TO MAINTAIN REQUIRED INS/SEC 1ST OFF/M, OPER MTR VEHICLE U/INFLUENCE ALC/DRUGS/ETC. .08 1ST OFF/M",DUI,Cleared By Arrest,SOUTH LIMESTONE ST & TRANSCRIPT AVE
"POSS OF MARIJUANA/M, GIVING OFFICER FALSE NAME OF ADDRESS/M",SOUTH LIMESTONE ST & AVENUE OF CHAMPIONS  ,Lexington,Kentucky,United States of America,Drug Violations,1/10/2015 21:37,Cleared By Arrest,SOUTH LIMESTONE ST & AVENUE OF CHAMPIONS,20150075,"POSS OF MARIJUANA/M, GIVING OFFICER FALSE NAME OF ADDRESS/M",Drug Violations,Cleared By Arrest,SOUTH LIMESTONE ST & AVENUE OF CHAMPIONS
"CARELESS DRIVING, POSS OF MARIJUANA/M, DRUG PARAPHERNALIA - BUY/POSSESS/M, OPER MTR VEHICLE U/INFLU ALC/DRUGS/ETC .08 (AGG CIRCUM) 1ST OFF/M",NICHOLASVILLE RD & ROSEMONT GARDEN  ,Lexington,Kentucky,United States of America,DUI,1/11/2015 6:37,Cleared By Arrest,NICHOLASVILLE RD & ROSEMONT GARDEN,20150083,"CARELESS DRIVING, POSS OF MARIJUANA/M, DRUG PARAPHERNALIA - BUY/POSSESS/M, OPER MTR VEHICLE U/INFLU ALC/DRUGS/ETC .08 (AGG CIRCUM) 1ST OFF/M",DUI,Cleared By Arrest,NICHOLASVILLE RD & ROSEMONT GARDEN
TBUT OR DISP FROM BUILDING U/$500/M,310 SOUTH LIMESTONE ST  ,Lexington,Kentucky,United States of America,Theft,1/10/2015 20:00,Closed,310 SOUTH LIMESTONE ST,20150084,TBUT OR DISP FROM BUILDING U/$500/M,Theft,Closed,310 SOUTH LIMESTONE ST
ALCOHOL INTOXICATION IN A PUBLIC PLACE (1ST & 2ND OFFENSES),1000 SOUTH LIMESTONE ST  ,Lexington,Kentucky,United States of America,Alcohol Intoxication,1/12/2015 1:43,Cleared By Arrest,1000 SOUTH LIMESTONE ST,20150089,ALCOHOL INTOXICATION IN A PUBLIC PLACE (1ST & 2ND OFFENSES),Alcohol Intoxication,Cleared By Arrest,1000 SOUTH LIMESTONE ST
SPEEDING 17 MPH OVER LIMIT. OPER MTR VEHICLE U/INFLUENCE ALC/DRUGS/ETC .08 1ST OFF/M,SOUTH LIMESTONE ST & WASHINGTON AVE  ,Lexington,Kentucky,United States of America,DUI,1/12/2015 4:10,Cleared By Arrest,SOUTH LIMESTONE ST & WASHINGTON AVE,20150090,SPEEDING 17 MPH OVER LIMIT. OPER MTR VEHICLE U/INFLUENCE ALC/DRUGS/ETC .08 1ST OFF/M,DUI,Cleared By Arrest,SOUTH LIMESTONE ST & WASHINGTON AVE
ASSAULT,1350 BULL LEA RD  ,Lexington,Kentucky,United States of America,Assault,1/9/2015 19:23,Closed CSA,1350 BULL LEA RD,CSA20150029,ASSAULT,Assault,Closed CSA,1350 BULL LEA RD
ASSAULT X2,1350 BULL LEA RD  ,Lexington,Kentucky,United States of America,Assault,1/9/2015 19:39,Closed CSA,1350 BULL LEA RD,CSA20150030,ASSAULT X2,Assault,Closed CSA,1350 BULL LEA RD
ASSAULT,1350 BULL LEA RD  ,Lexington,Kentucky,United States of America,Assault,1/9/2015 19:56,Closed CSA,1350 BULL LEA RD,CSA20150031,ASSAULT,Assault,Closed CSA,1350 BULL LEA RD
RAPE,1350 BULL LEA RD  ,Lexington,Kentucky,United States of America,Sex Offenses,1/10/2015 8:40,Unfounded,1350 BULL LEA RD,CSA20150032,RAPE,Sex Offenses,Unfounded,1350 BULL LEA RD
TERRORISTIC THREATENING,1350 BULL LEA RD  ,Lexington,Kentucky,United States of America,Terroristic Threatening,1/11/2015 5:26,Closed CSA,1350 BULL LEA RD,CSA20150033,TERRORISTIC THREATENING,Terroristic Threatening,Closed CSA,1350 BULL LEA RD
TERRORISTIC THREATENING,1350 BULL LEA RD  ,Lexington,Kentucky,United States of America,Terroristic Threatening,1/11/2015 5:40,Closed CSA,1350 BULL LEA RD,CSA20150034,TERRORISTIC THREATENING,Terroristic Threatening,Closed CSA,1350 BULL LEA RD
TERRORISTIC THREATENING,1350 BULL LEA RD  ,Lexington,Kentucky,United States of America,Terroristic Threatening,1/11/2015 10:19,Closed CSA,1350 BULL LEA RD,CSA20150035,TERRORISTIC THREATENING,Terroristic Threatening,Closed CSA,1350 BULL LEA RD
TBUT OR DISP FROM BUILDING U/$500/M,180 AVENUE OF CHAMPIONS  ,Lexington,Kentucky,United States of America,Theft,1/6/2015 15:00,Closed,180 AVENUE OF CHAMPIONS,20150096,TBUT OR DISP FROM BUILDING U/$500/M,Theft,Closed,180 AVENUE OF CHAMPIONS
"TBUT OR DISP FROM BUILDING $500 OR MORE BUT U/$10,000/F",1000 SOUTH LIMESTONE ST  ,Lexington,Kentucky,United States of America,Theft,1/12/2015 22:00,Unfounded,1000 SOUTH LIMESTONE ST,20150099,"TBUT OR DISP FROM BUILDING $500 OR MORE BUT U/$10,000/F",Theft,Unfounded,1000 SOUTH LIMESTONE ST
"POSS OF MARIJUANA/M, DRUG PARAPHERNALIA - BUY/POSSESS/M",769 WOODLAND AVE  ,Lexington,Kentucky,United States of America,Drug Violations,1/13/2015 5:35,Closed Disciplinary Referral,769 WOODLAND AVE,20150101,"POSS OF MARIJUANA/M, DRUG PARAPHERNALIA - BUY/POSSESS/M",Drug Violations,Closed Disciplinary Referral,769 WOODLAND AVE
