Category,Case Number,Month,Crime Date and Time,Report Date,Location,Incident Description,Residential Occurance,Disposition,Addressess-updated-v-2_Address (AllAddressesCombined),Addressess-updated-v-2_Bldg Name,Addressess-updated-v-2_Bldg Name (AllAddressesCombined),Addressess-updated-v-2_Bldg No.,Addressess-updated-v-2_Bldg No. (AllAddressesCombined),Addressess-updated-v-2_City,Addressess-updated-v-2_City (AllAddressesCombined),Addressess-updated-v-2_Code,Addressess-updated-v-2_Code (AllAddressesCombined),Addressess-updated-v-2_GIS Comments,Addressess-updated-v-2_State,Addressess-updated-v-2_State (AllAddressesCombined),Addressess-updated-v-2_Zip,Addressess-updated-v-2_LatDiff,Addressess-updated-v-2_LongDiff,Lat,Long,LATITUDE,LONGITUDE
Drug Violations,20130088,1,01/10/2013 - 4:30am,1/10/2013,MAXWELL STREET,DRUG PARAPHERNALIA-BUY/POSSESS/M,No,Citation issued,,,,,,,,,,,,,,,,,,,
Theft,20130093,1,01/10/2013 - 11:00pm,1/10/2013,905 SOUTH LIMESTONE ST,THEFT OF PROP MISLAID OR DELIVER BY MISTAKE/M,No,Open,,,,,,,,,,,,,,,,,,,
Drug Violations,20130094,1,01/11/2013 - 12:10am,1/11/2013,761 WOODLAND AVENUE,POSS OF MARIJUANA/M; DRUG PARAPHERNALIA-BUY/POSSESS/M,Yes,Expunged,,,,,,,,,,,,,,,,,,,
Drug Violations,20130095,1,01/11/2013 - 12:34am,1/11/2013,754 WOODLAND AVENUE,POSS OF MARIJUANA/M; PERSON 18-20 POSS/PURCH/ATT PURCH/HAVE ANOTHER PURCH ALCOHOL,No,Citation issued,,,,,,,,,,,,,,,,,,,
Drug Violations,2013002227,1,01/11/2013 - 2:55am,1/11/2013,310 SOUTH LIMESTONE ST,POSS OF MARIJUANA,No,Closed - N/A,310 SOUTH LIMESTONE ST,Good Samaritan Hospital (UK Healthcare),Good Samaritan Hospital (UK Healthcare),8633,8633,Lexington,Lexington,0,0,KY,KY,40508,40508,38.04293,-84.500435,38.04293,-84.500435,38,-85
Theft,20130098,1,01/10/2013 - 11:00am,1/11/2013,1540 UNIVERSITY DRIVE,TBUT OR DISP FROM AUTO/M,No,Closed,,,,,,,,,,,,,,,,,,,
Criminal Mischief,20130102,1,01/10/2013 - 5:00pm,1/11/2013,401 HILLTOP AVENUE,CRIMINAL MISCHIEF 3RD/M,No,Closed,,,,,,,,,,,,,,,,,,,
Theft,20130105,1,01/07/2013 - 12:00am,1/11/2013,1540 UNIVERSITY DRIVE,THEFT OF MOTOR VEHICLE REGISTRATION PLATE/F,No,Open,,,,,,,,,,,,,,,,,,,
Drug Violations,2013005853,1,01/11/2013 - 11:00pm,1/11/2013,448 PARK AVENUE,ASSISTED METRO REFERENCE POSSESSION OF MARIJUANA/M; DRUG PARAPHERNALIA/M; PERSON 18-20 POSS/PURCH/ATT PURCH ALCOHOL,Yes,Closed - Lexington Police Report,,,,,,,,,,,,,,,,,,,
Alcohol Intoxication,201302415,1,01/11/2013 - 11:38pm,1/11/2013,763 WOODLAND AVENUE,ALCOHOL INTOXICATION,No,Closed - N/A,,,,,,,,,,,,,,,,,,,
Drug Violations,20130108,1,01/12/2013 - 1:50am,1/12/2013,360 HUGUELET DRIVE,DRUG PARAPHERNALIA-BUY/POSSESS/M,No,Citation issued,,,,,,,,,,,,,,,,,,,
Theft,20130110,1,01/12/2013 - 4:00am,1/12/2013,750 ROSE STREET,TBUT OR DISP BUILDING/M,No,Closed,,,,,,,,,,,,,,,,,,,
Theft,20130116,1,01/12/2013 - 12:40pm,1/12/2013,180 AVENUE OF CHAMPIONS,TBUT OR DISP BUILDING/M,No,Closed,180 AVENUE OF CHAMPIONS,Stoll Field Viewing Tower,Stoll Field Viewing Tower,196,196,Lexington,Lexington,0,0,KY,KY,40506,40506,38.039828,-84.502039,38.039828,-84.502039,38,-85
Liquor Law Violation,2013005883,1,01/12/2013 - 12:15am,1/12/2013,304 FOREMAN AVENUE,ASSIST METRO REFERENCE MINOR IN POSSESSION OF ALCOHOL X 3; NOISE VIOLATION,Yes,Closed - Lexington Police Report,,,,,,,,,,,,,,,,,,,
Liquor Law Violation,2013006372,1,01/12/2013 - 11:35pm,1/12/2013,661 MAXWELTON COURT,ASSIST METRO REFERENCE MINOR IN POSSESSION OF ALCOHOL AND NOISE ORDINANCE VIOLATION,Yes,Closed - Lexington Police Report,,,,,,,,,,,,,,,,,,,
Alcohol Intoxication,201302428,1,01/12/2013 - 12:30am,1/12/2013,767 WOODLAND AVENUE,ALCOHOL INTOXICATION IN PUBLIC PLACE,No,Closed - N/A,,,,,,,,,,,,,,,,,,,
Alcohol Intoxication,20130121,1,01/13/2013 - 12:22am,1/13/2013,236 BOLIVAR STREET,ALCOHOL INTOXICATION IN A PUBLIC PLACE 3RD OR > OFF IN 12 MONTHS/M; DISORDERLY CONDUCT 2ND/M; CRIMINAL TRESPASSING 3RD,No,Cleared By Arrest,,,,,,,,,,,,,,,,,,,
Criminal Mischief,20130131,1,01/13/2013 - 11:31pm,1/13/2013,538 ROSE STREET,CRIMINAL MISCHIEF 3RD/M,No,Closed,,,,,,,,,,,,,,,,,,,
Liquor Law Violation,2013006417,1,01/13/2013 - 1:00am,1/13/2013,409 EAST MAXWELL STREET,ASSIST METRO REFERENCE PERSON 18-20 POSS/PURCH/ATT PURCH/HAVE ANOTHER PURCH ALCOHOL; PERMITTING THE POSSESSION OF ALCOHOL BY MINORS; NOISE VIOLATION,Yes,Closed - Lexington Police Report,,,,,,,,,,,,,,,,,,,
DUI,2013005226,1,01/11/2013 - 1:29am,1/14/2013,NICHOLASVILLE RD & WALLER AVE,"POSS OF MARIJUANA, DRUG PARAPHERNALIA-BUY/POSSESS X2, ALCO BEV CONTAINER IN AUTO, DUI ALC/DRUGS/ECT 2ND W/AGG CIRCUMSTANCES,",No,Closed - Lexington Police Report,,,,,,,,,,,,,,,,,,,
Disorderly Conduct,2013005241,1,01/11/2013 - 2:28am,1/14/2013,PINE ST & JERSEY ST,DISORDERLY CONDUCT 2ND,No,Closed - Lexington Police Report,,,,,,,,,,,,,,,,,,,
All Other Offenses,20130122,1,01/13/2013 - 12:29am,1/14/2013,115 HUGUELET DRIVE,FLEEING OR EVADING POLICE 2ND (ON FOOT)/M,No,Expunged,,,,,,,,,,,,,,,,,,,
Theft,20130132,1,01/14/2013 - 3:10am,1/14/2013,819 SOUTH LIMESTONE ST,TBUT OR DISP SHOPLIFTING/M X 2; PUBLIC INTOXICATION-CONTROLLED SUB/M X 2; DRUG PARAPHERNALIA-BUY/POSSESS/M X 2; GIVING OFFICER FALSE NAME OR ADDRESS/M,No,Cleared By Arrest,,,,,,,,,,,,,,,,,,,
Theft,20130136,1,01/14/2013 - 8:00am,1/14/2013,143 OLDHAM AVENUE,TBUT OR DISP FROM BUILDING/F,No,Open,,,,,,,,,,,,,,,,,,,
Theft,20130138,1,01/14/2013 - 7:30am,1/14/2013,422 ROSE LANE,TBUT OR DISP BUILDING/M,No,Closed,,,,,,,,,,,,,,,,,,,
Theft,20130139,1,01/10/2013 - 10:00am,1/14/2013,140 PATTERSON DRIVE,TBUT OR DISP BICYCLES/F,No,Closed,,,,,,,,,,,,,,,,,,,
Alcohol Intoxication,20130140,1,01/14/2013 - 3:45pm,1/14/2013,310 SOUTH LIMESTONE ST,ALCOHOL INTOXICATION IN A PUBLIC PLACE,No,Cleared By Arrest,310 SOUTH LIMESTONE ST,Good Samaritan Hospital (UK Healthcare),Good Samaritan Hospital (UK Healthcare),8633,8633,Lexington,Lexington,0,0,KY,KY,40508,40508,38.04293,-84.500435,38.04293,-84.500435,38,-85
Theft,20130141,1,01/11/2013 - 2:00pm,1/14/2013,620 SOUTH LIMESTONE ST,TBUT OR DISP FROM BUILDING/F,No,Open,620 SOUTH LIMESTONE ST,Law Building,Law Building,48,48,Lexington,Lexington,0,0,KY,KY,40506,40506,38.036489,-84.507321,38.036489,-84.507321,38,-85
Harassment,20130144,1,01/14/2013 - 8:43pm,1/14/2013,401 HILLTOP AVENUE,HARASSMENT (NO PHYSICAL CONTACT),No,Open,,,,,,,,,,,,,,,,,,,
Theft,20130154,1,01/14/2013 - 1:00pm,1/14/2013,1625 NICHOLASVILLE ROAD,TBUT OR DISP BUILDING/M,No,Closed,,,,,,,,,,,,,,,,,,,
Alcohol Intoxication,2013006560,1,01/13/2013 - 9:35am,1/15/2013,310 S LIMESTONE ST,ALCOHOL INTOXICATION IN A PUBLIC PLACE-1ST & 2ND OFFENSE,No,Closed - Lexington Police Report,,,,,,,,,,,,,,,,,,,
Alcohol Intoxication,2013005237,1,01/11/2013 - 2:06am,1/15/2013,PINE ST & JERSEY ST,"ALCOHOL INTOXICATION IN A PUBLIC PLACE-1ST & 2ND OFFENSE, CRIMINAL TRESPASSING-3RD DEGREE",No,Closed - Lexington Police Report,,,,,,,,,,,,,,,,,,,
Theft,2013007039,1,01/01/2011 - 12:01am,1/15/2013,460 COOPER DR,THEFT OF IDENTITY OF ANOTHER WITHOUT CONSENT/F,No,Closed - Lexington Police Report,460 COOPER DR,John W Oswald Bldg,John W Oswald Bldg,235,235,Lexington,Lexington,3,3,KY,KY,40546,40546,38.025425,-84.501011,38.025425,-84.501011,38,-85
Alcohol Intoxication,20130146,1,01/15/2013 - 1:41am,1/15/2013,ROSE STREET,ALCOHOL INTOXICATION IN A PUBLIC PLACE,No,Cleared By Arrest,,,,,,,,,,,,,,,,,,,
Liquor Law Violation,20130145,1,01/15/2013 - 12:00am,1/15/2013,600 SOUTH BROADWAY,MINOR IN POSSESSION,No,Citation issued,,,,,,,,,,,,,,,,,,,
Theft,20130150,1,11/01/2012 - 8:00am,1/15/2013,1210 UNIVERSITY DRIVE,THEFT OF PROPERTY MISLAID OR DELIVERED BY MISTAKE/M,No,Open,,,,,,,,,,,,,,,,,,,
Theft,20130152,1,01/15/2013 - 9:00am,1/15/2013,WASHINGTON AVENUE,TBUT OR DISP FROM AUTO/M,No,Closed,,,,,,,,,,,,,,,,,,,
Theft,20130151,1,01/15/2013 - 1:30pm,1/15/2013,800 ROSE STREET,TBUT OR DISP BUILDING/M,No,Closed,,,,,,,,,,,,,,,,,,,
All Other Offenses,20130168,1,01/15/2013 - 12:00pm,1/15/2013,140 PATTERSON DRIVE,ENDANGERING THE WELFARE OF A MINOR,No,Open,,,,,,,,,,,,,,,,,,,
Theft,CSA2013-0001,1,01/05/2013 - 12:00am,1/16/2013,430 COMPLEX DR,TBUT OR DISP - BUILDING,No,Closed - CSA,430 COMPLEX DR,Bernard Johnson Student Rec Ctr,Bernard Johnson Student Rec Ctr,220,220,Lexington,Lexington,0,0,KY,KY,40506,40506,38.029363,-84.505258,38.029363,-84.505258,38,-85
Criminal Mischief,20130159,1,01/15/2013 - 8:00am,1/16/2013,741 SOUTH LIMESTONE ST,CRIMINAL MISCHIEF 2ND/M,No,Closed,741 SOUTH LIMESTONE ST,Biomedical Biological Sciences Research Building (BBSRB),Biomedical Biological Sciences Research Building (BBSRB),509,509,Lexington,Lexington,0,0,KY,KY,40506,40506,38.034222,-84.508627,38.034222,-84.508627,38,-85
Theft,20130160,1,01/16/2013 - 10:10am,1/16/2013,108 AVENUE OF CHAMPIONS,TBUT OR DISP SHOPLIFTING/M,No,Closed,,,,,,,,,,,,,,,,,,,
Theft,20130163,1,01/16/2013 - 8:30am,1/16/2013,454 COMPLEX DRIVE,TBUT OR DISP BUILDING/M,No,Open,,,,,,,,,,,,,,,,,,,
Theft,20130164,1,01/16/2013 - 5:45pm,1/16/2013,401 HILLTOP AVENUE,TBUT OR DISP FROM BUILDING/F,No,Closed,,,,,,,,,,,,,,,,,,,
Theft,20130165,1,01/16/2013 - 7:08pm,1/16/2013,401HILLTOP AVENUE,TBUT OR DISP FROM BUILDING/F,No,Open,,,,,,,,,,,,,,,,,,,
Theft,20130166,1,01/16/2013 - 5:00pm,1/16/2013,430 COMPLEX DRIVE,TBUT OR DISP BUILDING/M,No,Closed,,,,,,,,,,,,,,,,,,,
Theft,20130174,1,01/15/2013 - 2:00pm,1/16/2013,620 SOUTH LIMESTONE ST,TBUT OR DISP FROM BUILDING/F,No,Closed,620 SOUTH LIMESTONE ST,Law Building,Law Building,48,48,Lexington,Lexington,0,0,KY,KY,40506,40506,38.036489,-84.507321,38.036489,-84.507321,38,-85
Alcohol Intoxication,2013007750,1,01/15/2013 - 10:55pm,1/17/2013,S UPPER ST & SCOTT ST,ALCOHOL INTOXICATION IN A PUBLIC PLACE-1ST & 2ND OFFENSE,No,Closed - Lexington Police Report,,,,,,,,,,,,,,,,,,,
Alcohol Intoxication,20130171,1,01/17/2013 - 1:40am,1/17/2013,401 HILLTOP AVENUE,ALCOHOL INTOXICATION IN A PUBLIC PLACE,No,Cleared By Arrest,,,,,,,,,,,,,,,,,,,
Alcohol Intoxication,20130173,1,01/17/2013 - 3:40am,1/17/2013,1540 UNIVERSITY DRIVE,ALCOHOL INTOXICATION IN A PUBLIC PLACE,No,Cleared By Arrest,,,,,,,,,,,,,,,,,,,
Theft,20130176,1,01/17/2013 - 4:00pm,1/17/2013,HOSPITAL DRIVE,THEFT OF MOTOR VEHICLE REGISTRATION PLATE/F,No,Open,,,,,,,,,,,,,,,,,,,
DUI,20130178,1,01/17/2013 - 10:21pm,1/17/2013,SOUTH UPPER STREET,OPER MTR VEH U/INFLU ALC/DRUGS/ETC..08/M; POSS OF MARIJUANA/M; DRUG PARAPHERNALIA-BUY/POSSESS/M; POSS CONT SUB 3RD/M,No,Citation issued,,,,,,,,,,,,,,,,,,,
Alcohol Intoxication,20130177,1,01/17/2013 - 10:40pm,1/17/2013,310 SOUTH LIMESTONE ST,ALCOHOL INTOXICATION IN A PUBLIC PLACE 3RD OR > OFF IN 12 MONTHS/M,No,Cleared By Arrest,310 SOUTH LIMESTONE ST,Good Samaritan Hospital (UK Healthcare),Good Samaritan Hospital (UK Healthcare),8633,8633,Lexington,Lexington,0,0,KY,KY,40508,40508,38.04293,-84.500435,38.04293,-84.500435,38,-85
Drug Violations,20130179,1,01/18/2013 - 12:35am,1/18/2013,330 HILLTOP AVENUE,POSS OF MARIJUANA/M; DRUG PARAPHERNALIA-BUY/POSSESS/M,Yes,Citation issued,,,,,,,,,,,,,,,,,,,
Alcohol Intoxication,20130180,1,01/18/2013 - 1:47am,1/18/2013,FARM ROAD,'ALCOHOL INTOXICATION IN A PUBLIC PLACE; REPRESENTING AS ONE''S OWN ANOTHER''S OPER LIC/M',No,Expunged,,,,,,,,,,,,,,,,,,,
Burglary,20130182,1,01/17/2013 - 5:45pm,1/18/2013,151 WASHINGTON AVENUE,"BURGLARY 3RD/F; CRIMINAL MISCHIEF 1ST/F; RECEIVING STOLEN PROPERTY U/$10,000/F",No,Cleared By Arrest,,,,,,,,,,,,,,,,,,,
Theft,20130184,1,12/21/2012 - 12:00am,1/18/2013,121 WASHINGTON AVENUE,TBUT OR DISP BUILDING/M,No,Open,,,,,,,,,,,,,,,,,,,
Harassment,20130185,1,01/18/2013 - 10:35am,1/18/2013,310 SOUTH LIMESTONE ST,HARASSMENT-PHYSICAL CONTACT -NO INJURY/M,No,Closed - Cleared By Exception,310 SOUTH LIMESTONE ST,Good Samaritan Hospital (UK Healthcare),Good Samaritan Hospital (UK Healthcare),8633,8633,Lexington,Lexington,0,0,KY,KY,40508,40508,38.04293,-84.500435,38.04293,-84.500435,38,-85
Burglary,20130188,1,01/18/2013 - 10:44am,1/18/2013,338 LEXINGTON AVENUE,BURGLARY 3RD/F,No,Open,,,,,,,,,,,,,,,,,,,
Criminal Mischief,20130191,1,01/17/2013 - 10:00pm,1/18/2013,456 ROSE STREET,CRIMINAL MISCHIEF 3RD/M,No,Closed,,,,,,,,,,,,,,,,,,,
Alcohol Intoxication,20130192,1,01/18/2013 - 10:50pm,1/18/2013,1400 NICHOLASVILLE ROAD,ALCOHOL INTOXICATION IN A PUBLIC PLACE,No,Cleared By Arrest,,,,,,,,,,,,,,,,,,,
Sex Offenses,20130196,1,01/19/2013 - 1:59am,1/19/2013,121 CAMPUS DR,RAPE 1ST/F,Yes,Closed,121 CAMPUS DR,Keeneland Hall,Keeneland Hall,11,11,Lexington,Lexington,0,0,KY,KY,40526,40526,38.042006,-84.502332,38.042006,-84.502332,38,-85
Liquor Law Violation,20130193,1,01/19/2013 - 12:28am,1/19/2013,500 EUCLID AVENUE,PERSON 18-20 POSS/PURCH/ATT PURCH/HAVE ANOTHER PURCH ALCOHOL X 2; DISPLAY OR POSS CANCELLED OR FICTITIOUS OPER LIC/M X 2; ALCOHOL INTOXICATION IN A PUBLIC PLACE; REPRESENTING AS ONES OWN ANOTHERS OPER LIC/M,No,Cleared By Arrest,,,,,,,,,,,,,,,,,,,
DUI,20130195,1,01/19/2013 - 3:35am,1/19/2013,WOODLAND AVENUE,OPER MTR VEHICLE U/INFLU ALC/DRUGS/ETC..08/M; IMPROPER TURNING; POSS OF OPEN ALC BEVERAGE CONT IN MOTOR VEH PROHIBITED; FAILURE TO ILLUMINATE HEAD LAMPS,No,Cleared By Arrest,,,,,,,,,,,,,,,,,,,
