Category,Case Number,Crime Date and Time,Report Date,Location,Incident Description,Residential Occurance,Disposition,,,,,,,,,,,,,,
Burglary,20133446,12/19/2013 - 6:00pm,12/20/2013,344 LEXINGTON AVE,"BURGLARY 3RD/F, CRIMINAL MISCHIEF 1ST/F",No,Closed,,,,,,,,,,,,,
Criminal Mischief,CSA20130113,12/20/2013 - 9:10pm,12/20/2013,1350 BULL LEA RD,CRIMINAL MISCHIEF 3RD,No,Closed - CSA,,,,,,,,,,,,,,
Alcohol Intoxication,20133437,12/19/2013 - 12:40am,12/19/2013,EAST MAXWELL ST & SOUTH MLK BLVD,"ALCOHOL INTOXICATION IN A PUBLIC PLACE (1ST & 2ND OFFENSE), REPRESENTING AS ONES OWN ANOTHERS OPER LIC/M",No,Cleared By Arrest,,,,,,,,,,,,,
Alcohol Intoxication,20133438,12/19/2013 - 1:42am,12/19/2013,325 SOUTH LIMESTONE ST,ALCOHOL INTOXICATION IN A PUBLIC PLACE (1ST & 2ND OFFENSE),No,Cleared By Arrest,,,,,,,,,,,,,,
Alcohol Intoxication,2013201396,12/18/2013 - 3:41am,12/19/2013,535 SOUTH UPPER ST,ALCOHOL INTOXICATION IN A PUBLIC PLACE (1ST & 2ND OFFENSE),No,Closed - Lexington Police Report,,,,,,,,,,,,,,
Criminal Mischief,CSA20130108,12/19/2013 - 1:27am,12/19/2013,1350 BULL LEA RD,CRIMINAL MISCHIEF 3RD,No,Closed - CSA,,,,,,,,,,,,,,
Assault,20133439,12/19/2013 - 9:00am,12/19/2013,310 SOUTH LIMESTONE ST,ASSAULT 4TH (MINOR INJURY)/M,No,Closed - Cleared By Exception,,,,,,,,,,,,,,
Assault,CSA20130109,12/19/2013 - 12:05pm,12/19/2013,1350 BULL LEA RD,ASSAULT 4TH,No,Closed - CSA,,,,,,,,,,,,,,
Assault,CSA20130110,12/19/2013 - 2:25pm,12/19/2013,1350 BULL LEA RD,ASSAULT 4TH,No,Closed - CSA,,,,,,,,,,,,,,
Assault,CSA20130111,12/19/2013 - 4:25pm,12/19/2013,1350 BULL LEA RD,ASSAULT 4TH,No,Closed - CSA,,,,,,,,,,,,,,
Assault,CSA20130112,12/19/2013 - 9:30pm,12/19/2013,1350 BULL LEA RD,ASSAULT 4TH,No,Closed - CSA,,,,,,,,,,,,,,
Drug Violations,20133432,12/18/2013 - 2:57am,12/18/2013,TRANSYLVANIA PARK & EUCLID AVE,"REAR LICENSE NOT ILLUMINATED, NO OPERATORS-MOPED LICENSE/M, TRAFF CON SUB WITHIN 1,000 FEET OF SCHOOL/F X2, TAMPERING WITH PHYSICAL EVIDENCE/F X3, CARRYING A CONCEALED DEADLY WEAPON/M, TRAF IN MARIJUANA (LESS THAN 8 OZ) 2ND > OFF/F",No,Cleared By Arrest,,,,,,,,
Theft,20133431,12/11/2013 - 12:00pm,12/18/2013,512 ADMINISTRATION DR,TBUT OR DISP BICYCLES U/$500/M,No,Closed,,,,,,,,,,,,,,
Assault,CSA20130104,12/18/2013 - 8:15am,12/18/2013,1350 BULL LEA RD,ASSAULT 4TH,No,Closed - CSA,,,,,,,,,,,,,,
Assault,CSA20130105,12/18/2013 - 4:28pm,12/18/2013,1350 BULL LEA RD,ASSAULT 4TH,No,Closed - CSA,,,,,,,,,,,,,,
Assault,CSA20130106,12/18/2013 - 4:31pm,12/18/2013,1350 BULL LEA RD,ASSAULT 4TH,No,Closed - CSA,,,,,,,,,,,,,,
Assault,CSA20130107,12/18/2013 - 8:55pm,12/18/2013,1350 BULL LEA RD,ASSAULT 4TH,No,Closed - CSA,,,,,,,,,,,,,,
Harassing Communications,20133422,12/17/2013 - 7:40am,12/17/2013,750 ROSE ST,HARASSING COMMUNICATIONS/M,No,Closed,,,,,,,,,,,,,,
Harassment,20133425,12/17/2013 - 11:45am,12/17/2013,740 SOUTH LIMESTONE ST,HARASSMENT (NO PHYSICAL CONTACT),No,Closed,,,,,,,,,,,,,,
Theft,20133426,12/13/2013 - 12:00pm,12/17/2013,167 FUNKHOUSER DR,TBUT OR DISP BICYCLES U/$500/M,No,Open,,,,,,,,,,,,,,
Assault,20133427,12/17/2013 - 1:10pm,12/17/2013,217 ELM TREE LN,ASSAULT 4TH (NO VISIBLE INJURY)/M,No,Closed,,,,,,,,,,,,,,
Harassing Communications,20133430,12/17/2013 - 5:00pm,12/17/2013,705 SPORTS CENTER DR,HARASSING COMMUNICATIONS/M,No,Closed,,,,,,,,,,,,,,
Burglary,20133428,12/17/2013 - 12:45pm,12/17/2013,695 WINNIE ST,BURGLARY 3RD/F,Yes,Open,,,,,,,,,,,,,,
Assault,CSA20130097,12/17/2013 - 2:20pm,12/17/2013,1350 BULL LEA RD,ASSAULT 4TH,No,Closed - CSA,,,,,,,,,,,,,,
Assault,CSA20130098,12/17/2013 - 10:50am,12/17/2013,1350 BULL LEA RD,ASSAULT 4TH,No,Closed - CSA,,,,,,,,,,,,,,
Assault,CSA20130099,12/17/2013 - 12:00pm,12/17/2013,1350 BULL LEA RD,ASSAULT 4TH,No,Closed - CSA,,,,,,,,,,,,,,
Assault,CSA20130100,12/17/2013 - 7:25pm,12/17/2013,1350 BULL LEA RD,ASSAULT 4TH,No,Closed - CSA,,,,,,,,,,,,,,
Assault,CSA20130101,12/17/2013 - 8:18pm,12/17/2013,1350 BULL LEA RD,ASSAULT 4TH,No,Closed - CSA,,,,,,,,,,,,,,
Assault,CSA20130102,12/17/2013 - 10:00pm,12/17/2013,1350 BULL LEA RD,ASSAULT 4TH,No,Closed - CSA,,,,,,,,,,,,,,
Assault,CSA20130103,12/17/2013 - 10:00pm,12/17/2013,1350 BULL LEA RD,ASSAULT 4TH,No,Closed - CSA,,,,,,,,,,,,,,
Theft,20133424,12/05/2013 - 7:00pm,12/17/2013,138 LEADER AVE,TBUT OR DISP FROM BUILDING $500/M,No,Closed,,,,,,,,,,,,,,
Drug Violations,20133409,12/16/2013 - 12:11am,12/16/2013,121 CAMPUS DR,"POSS OF MARIJUANA/M, DRUG PARAPHERNALIA - BUY/POSSESS/M",Yes,Citation issued,,,,,,,,,,,,,
DUI,20133411,12/16/2013 - 2:50am,12/16/2013,SOUTH LIMESTONE ST & CONN TERR,"CARELESS DRIVING, FAILURE TO PRODUCE INSURANCE CARD, OPER MTR VEH U/INFLU ALC/DRUGS/ETC .08 (AGG CIRCUM) 2ND/M",No,Cleared By Arrest,,,,,,,,,,,,
Theft,20133415,12/16/2013 - 9:30am,12/16/2013,404 ADMINISTRATION DR,TBUT OR DISP BICYCLES U$500/M,No,Closed,,,,,,,,,,,,,,
Theft,20133420,12/16/2013 - 9:40pm,12/16/2013,201 AVENUE OF CHAMPIONS,TBUT OR DISP FROM BUILDING U/$500/M,No,Closed,,,,,,,,,,,,,,
Assault,20133421,12/16/2013 - 11:07pm,12/16/2013,1000 SOUTH LIMESTONE ST,"ASSAULT 4TH (DOMESTIC VIOLENCE) MINOR INJURY/M, ALCOHOL INTOX IN A PUBLIC PLACE (1ST & 2ND OFFENSE) X2, DISORDERLY CONDUCT 2ND/M",No,Cleared By Arrest,,,,,,,,,,,,
Theft,20133423,12/12/2013 - 10:00pm,12/16/2013,758 WOODLAND AVE,"TBUT OR DISP FROM BUILDING $500 OR MORE BUT U/$10,000/F",Yes,Closed,,,,,,,,,,,,,
Sex Offenses,CSA20130094,11/29/2013 - 12:00am,12/16/2013,1350 BULL LEA RD,SEX OFFENSE - FORCIBLE FONDLING,No,Closed - CSA,,,,,,,,,,,,,,
Assault,CSA20130095,12/16/2013 - 5:03pm,12/16/2013,1350 BULL LEA RD,ASSAULT 4TH,No,Closed - CSA,,,,,,,,,,,,,,
Assault,CSA20130096,12/16/2013 - 6:44pm,12/16/2013,1350 BULL LEA RD,ASSAULT 4TH,No,Closed,,,,,,,,,,,,,,
DUI,20133402,12/15/2013 - 1:43am,12/15/2013,EAST MAXWELL ST & LEXINGTON AVE,OPER MTR VEHICLE U/INFLU ALC/DRUGS/ETC .08 (AGG CIRCUM) 1ST/M,No,Cleared By Arrest,,,,,,,,,,,,,,
Theft,20133405,12/14/2013 - 9:00pm,12/15/2013,201 AVENUE OF CHAMPIONS,TBUT OR DISP FROM BUILDING U/$500/M,No,Open,,,,,,,,,,,,,,
Assault,CSA20130092,12/15/2013 - 8:40pm,12/15/2013,1350 BULL LEA RD,ASSAULT 4TH,No,Closed - CSA,,,,,,,,,,,,,,
Assault,CSA20130093,12/15/2013 - 5:50pm,12/15/2013,1350 BULL LEA RD,ASSAULT 4TH,No,Closed - CSA,,,,,,,,,,,,,,
DUI,20133392,12/14/2013 - 1:13am,12/14/2013,SOUTH LIMESTONE ST & EAST HIGH ST,"DISREGARDING TRAFFIC CONTROL DEVICE, OPER MTR VEHICLE U/INFLU ALC/DRUGS/ETC .08 (AGG CIRCUM) 1ST/M",No,Cleared By Arrest,,,,,,,,,,,,,
DUI,20133394,12/14/2013 - 2:55am,12/14/2013,265 EUCLID AVE,"DRIVING ON DUI SUSPENDED LICENSE 1ST/M, OPER MTR VEHICLE U/INFLUENCE ALC/DRUGS/ETC .08 2ND/M, FAILURE OF NON-OWNER OPERATOR TO MAINTAIN REQ INS/SEC 1ST/M",No,Cleared By Arrest,,,,,,,,,,,,
Burglary,20133395,12/13/2013 - 9:21am,12/14/2013,770 WOODLAND AVE,"BURGLARY 3RD/F, CRIMINAL MISCHIEF 3RD/M",No,Closed,,,,,,,,,,,,,
Drug Violations,20133396,12/14/2013 - 12:15pm,12/14/2013,340 HILLTOP AVE,"POSS OF MARIJUANA/M X2, DRUG PARAPHERNALIA - BUY/POSSESS/M X2",Yes,Citation issued,,,,,,,,,,,,,
Drug Violations,20133399,12/14/2013 - 10:23am,12/14/2013,301 HILLTOP AVE,"POSS OF MARIJUANA/M, DRUG PARAPHERNALIA - BUY/POSSESS/M, PERSON 18-20 POSS/PURCH/ATT PURCH/HAVE ANOTHER PURCH ALCOHOL",No,Citation issued,,,,,,,,,,,,
Assault,CSA20130089,12/13/2013 - 5:30pm,12/14/2013,1350 BULL LEA RD,ASSAULT 4TH,No,Closed - CSA,,,,,,,,,,,,,,
Assault,CSA20130090,12/14/2013 - 3:45pm,12/14/2013,1350 BULL LEA RD,ASSAULT 4TH,No,Closed - CSA,,,,,,,,,,,,,,
Assault,CSA20130091,12/14/2013 - 5:40pm,12/14/2013,1350 BULL LEA RD,ASSAULT 4TH,No,Closed - CSA,,,,,,,,,,,,,,
Alcohol Intoxication,20133379,12/13/2013 - 2:28am,12/13/2013,AVENUE OF CHAMPIONS & LEXINGTON AVE,ALCOHOL INTOXICATION IN A PUBLIC PLACE (1ST & 2ND OFFENSE),No,Cleared By Arrest,,,,,,,,,,,,,,
DUI,20133380,12/13/2013 - 2:37am,12/13/2013,ALUMNI DR & UNIVERSITY DR,"FAILURE TO ILLUMINATE HEAD LAMPS, OPERATING ON SUS OR REV OPER LICENSE/M, OPER MTR VEH U/INFLU ALC/DRUGS/ETC .08 (AGG CIRCUM) 2ND/M",No,Cleared By Arrest,,,,,,,,,,,,
DUI,20133381,12/13/2013 - 3:40am,12/13/2013,EAST MAXWELL ST & WOODLAND AVE,OPER MTR VEHICLE U/INFLUENCE ALC/DRUGS/ETC .08 1ST/M,No,Cleared By Arrest,,,,,,,,,,,,,,
Theft,20133382,11/01/2012 - 12:01am,12/13/2013,504 ROSE ST,THEFT OF PROP MISLAID OR DELIVER BY MISTAKE/F,No,Open,,,,,,,,,,,,,,
Criminal Mischief,CSA20130085,12/13/2013 - 1:30pm,12/13/2013,1350 BULL LEA RD,CRIMINAL MISCHIEF,No,Closed - CSA,,,,,,,,,,,,,,
Assault,CSA20130086,12/13/2013 - 1:20pm,12/13/2013,1350 BULL LEA RD,ASSAULT 4TH,No,Closed - CSA,,,,,,,,,,,,,,
Criminal Mischief,CSA20130087,12/13/2013 - 12:55pm,12/13/2013,1350 BULL LEA RD,CRIMINAL MISCHIEF,No,Closed - CSA,,,,,,,,,,,,,,
Terroristic Threatening,CSA20130088,12/13/2013 - 10:15am,12/13/2013,1350 BULL LEA RD,TERRORISTIC THREATENING,No,Closed - CSA,,,,,,,,,,,,,,
Theft,20133370,11/29/2013 - 1:45pm,12/12/2013,720 SPORTS CENTER DR,"TBUT OR DISP FROM BUILDING $500 OR MORE BUT U/$10,000/F",No,Closed,,,,,,,,,,,,,
Theft,20133371,11/21/2013 - 3:30pm,12/12/2013,769 WOODLAND AVE,TBUT OR DISP BICYCLES U/$500/M,No,Closed,,,,,,,,,,,,,,
Assault,20133375,12/12/2013 - 6:55pm,12/12/2013,1350 BULL LEA RD,ASSAULT 2ND/F,No,Cleared By Arrest,,,,,,,,,,,,,,
Criminal Mischief,20133369,12/11/2013 - 5:32pm,12/12/2013,361 HUGUELET DR,CRIMINAL MISCHIEF 1ST/F,Yes,Open,,,,,,,,,,,,,,
Assault,CSA20130082,12/12/2013 - 12:00am,12/12/2013,1350 BULL LEA RD,ASSAULT 4TH,No,Closed - CSA,,,,,,,,,,,,,,
Assault,CSA20130083,12/12/2013 - 12:35pm,12/12/2013,1350 BULL LEA RD,ASSAULT 4TH,No,Closed - CSA,,,,,,,,,,,,,,
Assault,CSA20130084,12/12/2013 - 1:35pm,12/12/2013,1350 BULL LEA RD,ASSAULT 4TH,No,Closed - CSA,,,,,,,,,,,,,,
